hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
7a83634c455aae979dfadc671f52d88f,c5315.shuffled.cnf,unsat,unsat,4.748,1.162,0.847,0.688,6.062,10000.0
7aa9083488761f6a0adf8db702739a78,minandmaxor032.cnf,unsat,unsat,61.396,47.127,86.041,5.133,121.787,19.769
7b35f953ec3674a5f4f4a9f312d33b91,rnd_150_29_u.cnf,unsat,unsat,225.626,157.835,8.676,57.155,580.873,35.058
7b3d0382156f1923019d9e1879de193f,Urquhart-s4-b5.shuffled.cnf,unknown,unsat,10000.0,10000.0,1.169,10000.0,10000.0,10000.0
7b51d6655ec42d470f65bc9c1f39e018,SGI_30_60_30_40_6-dir.shuffled-as.sat03-134.cnf,unsat,unsat,189.607,382.977,87.278,669.105,10000.0,164.749
7b7366eced630feb06d47056296041ab,connm-ue-csp-sat-n600-d0.04-s1211252026.used-as.sat04-978.cnf,unsat,unsat,254.623,141.61,12.275,236.944,329.43,52.308
7b757059ce4239746808fbed1fc298c4,g2-hwmcc15deep-6s340rb63-k22.cnf,unsat,unsat,2937.255,2328.247,521.374,172.254,1058.869,10000.0
7b7ac3218e43cb8347ee0f857d30a98c,uts-l05-ipc5-h26-unsat.cnf,unsat,unsat,127.53,69.897,7.975,17.164,504.14,70.443
7ba40e48181c3dcc086194bd886ce467,terminator_03_true-unreach-call_true-termination.i.cnf,unsat,unsat,526.587,1090.21,244.848,57.39,10000.0,4679.785
7bb3e6513dae63db3fbc306b8c6aca5c,VanDerWaerden_pd_2-3-23_508.cnf,unknown,unsat,3764.897,10000.0,204.829,10000.0,10000.0,10000.0
7c0296e111436f76c122df0d9cc07696,Urquhart-s3-b9.shuffled.cnf,unsat,unsat,2.112,0.844,0.75,0.094,1.244,10000.0
7c552f4d2bc35862829d06d94e230c4a,total-10-17-u.cnf,unsat,unsat,654.944,10000.0,131.184,2976.707,1728.445,10000.0
7c61be426f173543b3a4ce9bdb57874d,rand_net60-60-10.shuffled.cnf,unsat,unsat,103.412,148.186,0.765,15.186,182.463,45.158
7c6795ba16836c8cff78c8ce672efd08,fdmus_b14_210.cnf,unsat,unsat,2.576,2.239,81.512,0.6,2.355,6.097
7c7bf097f80d226d14095a56c13e5bb1,C880mul.miter.shuffled-as.sat03-348.cnf,unsat,unsat,18.846,9.161,1.37,0.984,3.541,5.678
7c8b9914cfd4bb3b72d9e99b87f814a1,QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,unsat,unsat,27.323,111.619,2.871,105.829,155.453,19.665
7c9eeb95bb79140c0fdf14cb1e4f19e9,prime_119218851371.cnf,unsat,unsat,142.764,63.585,19.778,793.369,832.148,132.836
7ca07adf30ff0a7637d92339236b7644,SAT_dat.k85-sc2013.cnf,unsat,unsat,10000.0,10000.0,718.939,2093.915,10000.0,10000.0
7ca897acf9e18dee55f60a3867fd07d4,x2_44.shuffled-as.sat03-1600.cnf,unsat,unsat,197.61,173.336,0.866,88.264,3971.383,3.563
7cbc5cc8519a0623cdec0361495e153b,unsat-pbl-00200.sat05-1329.reshuffled-07.cnf,unsat,unsat,24.283,19.886,0.969,0.277,9.115,1.671
7d4b045378335cf8f95b3311b4bc6427,g2-T99.2.1.cnf,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
7d6710625f3747894f918380206f121f,pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,unsat,unsat,204.161,822.021,502.764,111.38,193.794,1011.359
7d70021539c490db5274b6025c33e9d6,f7b.cnf,unsat,unsat,120.261,48.932,6.879,7.684,70.674,20.557
7d79f9e7e3c565b184f10ca6d8f4e723,cube-9-h10-unsat.cnf,unsat,unsat,39.463,15.028,31.903,17.596,380.837,75.033
7d89daff5013fc5acc0e0c86ba805224,IBM_FV_2004_rule_batch_3_11_SAT_dat.k100.cnf,unsat,unsat,1372.568,1173.796,121.771,138.44,1652.725,10000.0
7da4538367b281aa55b64b5361d91c1a,tseitingrid7x175_shuffled.cnf,unknown,unsat,10000.0,10000.0,610.74,10000.0,10000.0,3.66
7da4e7f69019d26c330b6280bc4449b0,pbl-00060.shuffled-as.sat05-1323.shuffled-as.sat05-1323.cnf,unsat,unsat,9.07,2.988,0.767,0.147,2.507,2.848
7dc41deafbd45bdc8e4c054e9e609d8a,g2-T88.2.1.cnf,unsat,unsat,10000.0,742.675,610.482,263.353,392.375,10000.0
7dde4d71389f631ebfd09bd5194d2a72,Nb49T6.cnf,unsat,unsat,10000.0,10000.0,547.716,10000.0,10000.0,1261.29
7ded5a1993e1fc6df9d0e3623bc64d1e,SGI_30_70_23_50_1-dir.shuffled-as.sat03-156.cnf,unsat,unsat,116.928,620.483,28.888,1403.467,10000.0,486.032
