hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
09d8544494e54bc756438e69567b4ba7,mp1-klieber2017s-0300-034-t12.cnf,sat,sat,208.454,15.964,14.374,102.339,2112.43,22.699
09dcc6149a23787a3aa96af8825bda60,test_v7_r7_vr10_c1_s32506.smt2-cvc4.cnf,sat,sat,734.841,1776.446,257.615,149.02,379.991,1022.308
0a015b7f4b4ec96e881f2f5f5e55265c,strips-gripper-18t35.shuffled-as.sat05-1147.cnf,sat,sat,82.068,543.748,15.085,6.499,194.004,26.069
0a1043b4f34db8a3de2aef9e4a82a34b,instance_n3_i3_pp.cnf,sat,sat,0.693,0.565,0.666,0.051,1.267,4.002
0a4b9ce30540d2103d65e44994d206a5,pyhala-braun-sat-40-4-03.shuffled-as.sat03-1541.cnf,sat,sat,37.416,44.38,4.073,14.562,68.157,47.101
0a5afa615f6f27d7ec4d43d3c655a8af,cnt07.shuffled.cnf,sat,sat,1.95,0.681,0.767,0.166,3.701,5.636
0a7555a2a68abdd45b80a8db1a919a6a,ferry10_v01a.renamed-as.sat05-3993.cnf,sat,sat,2.435,4.684,1.531,0.188,2.451,4.979
0a819f7ad46f70de5a184784da303f5e,VanDerWaerden_pd_2-3-21_399.cnf,sat,sat,77.823,114.926,5.672,56.805,1.049,22.752
0a910e1ca5b222324dc3ac8f03d6414d,62bits_11.dimacs.cnf,unknown,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
0ae917c2e0c1d39cbe411c29b2f5ff08,dislog_a14_x14_n24.cnf,sat,sat,10000.0,10000.0,1070.215,2393.341,10000.0,10000.0
0b0c7b96b04f9fee0120df9eb8add851,shuffling-1-s716603489-of-bench-sat04-317.used-as.sat04-460.cnf,sat,sat,10000.0,10000.0,1284.24,23.531,2702.552,1290.272
0b1041a1e55af6f3d2c63462a7400bd2,fermat-907547022132073.cnf,sat,sat,1281.882,439.8,77.129,662.297,161.592,900.017
