hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
7143d6509c168869ea1d86638c9ca262,rphp4_095_shuffled.cnf.xz,unsat,unsat,2741.4,2572.06,1480.18,1591.52,10000.0,4689.16,4440.69,4540.54,4533.48,2133.39,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1625.61,4503.57,4476.11,10000.0,4526.73,4396.35,2016.14,2137.29,1869.56,1834.25,4178.51,10000.0
714421c7bac197d52b4049df3ceb880a,ak128boothboothisc.cnf.xz,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
7157b954177f0acb22dc454c5f6e7f54,289-sat-11x10.cnf.xz,sat,sat,0.013161,0.013101,0.014381,0.012783,0.011405,0.014678,0.013434,0.013504,0.013274,0.011079,0.055839,0.050282,0.048847,0.062779,0.062615,0.020066,0.024202,0.014289,0.014188,0.049555,0.01253,0.008665,0.009957,0.010125,0.009808,0.009731,0.01319,0.013035
715e63fe287daf50c04c9ef51e88cad1,mrpp_4x4#6_5.cnf.xz,unsat,unsat,0.034769,0.034633,0.022086,0.032339,0.019237,0.013127,0.01016,0.010355,0.010292,0.027587,1.85418,2.33398,0.037862,0.786093,0.808641,0.063231,17.4999,0.012938,0.01287,0.015517,0.015781,0.065332,0.024944,0.024792,0.021756,0.027035,0.015124,0.016357
715f24a25c666b1a4c9991b16b880ea6,HCP-506-60.cnf.xz,sat,sat,55.4739,120.086,48.6312,63.8856,223.084,63.381,85.0119,90.8871,74.0824,107.08,438.598,1388.49,1105.65,1015.83,469.512,53.1423,74.8528,87.891,80.5864,194.088,152.624,104.499,170.05,72.5828,128.697,189.996,77.0928,42.2398
71613f08039b4837884058caae8b14a1,rbsat-v760c43649g4.cnf.xz,sat,sat,1168.23,55.6818,354.105,344.856,3674.75,29.3096,958.821,93.7013,959.473,639.46,241.507,991.942,803.504,0.645548,0.64678,546.583,357.192,233.053,1671.84,41.2344,128.984,489.448,466.497,318.346,324.615,747.873,272.366,6.19885
7162f7f1e18ff7e3010af4ca4396bd4e,E04N18.cnf.xz,unsat,unsat,0.644131,0.633443,1.9997,0.610876,0.418337,0.337809,0.33609,0.333032,0.335467,0.683852,2.33102,3.72705,7.85123,13.7254,2.88929,4.95815,0.63021,0.342229,0.31895,1.68637,0.643228,0.321799,1.88844,2.04462,0.789691,0.836109,0.397634,0.655383
71659580721582507b1903ad9866b36a,Ptn-7824-b01.cnf.xz,sat,sat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2265.81,10000.0,10000.0,2101.13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,650.068,10000.0,114.032
7170bdf0763fdfef5ade500216f2261c,SGI_30_60_30_40_6-log.shuffled-as.sat03-135.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,4874.34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3049.76,10000.0,10000.0,4144.13,10000.0,4568.83,3228.11,10000.0,10000.0,2765.03,10000.0,10000.0,4553.85,10000.0,10000.0,10000.0
7199fad8a1e63c9e5c8a39298d529348,hgen8-n260-03-S722413478.shuffled-as.sat03-887.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
